analysis_id	model	sample_subset	numerator	denominator	positive_log2fc	output_file	rows	analysis_status_counts	sha256	contrast
WT_IFNG_vs_control	~treatment	WT: control and IFNG	WT IFNG	WT control	higher in WT IFNG	WT_IFNG_vs_control.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":21212,""modelled"":25213}"	b4e9a3c16cd653d999c83b0bc36afc186c99f4180820b5be0f53a89fd49b2ff2	"[""treatment"",""IFNG"",""control""]"
WT_TNF_vs_control	~treatment	WT: control and TNF	WT TNF	WT control	higher in WT TNF	WT_TNF_vs_control.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":21604,""modelled"":24821}"	553a88c373d009b5f03170ae769b4b768f16f931b0bb64f6acc0f4c1f8e691cc	"[""treatment"",""TNF"",""control""]"
WT_TNF_IFNG_vs_control	~treatment	WT: control and TNF_IFNG	WT TNF_IFNG	WT control	higher in WT TNF_IFNG	WT_TNF_IFNG_vs_control.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":21364,""modelled"":25061}"	619550fce85a234ffa67af377549cf0724a25102bdea566db16d7dadf07e9800	"[""treatment"",""TNF_IFNG"",""control""]"
TNFR1_KO1_vs_WT_control	~genotype	control: WT and TNFR1_KO1	TNFR1_KO1 control	WT control	higher in TNFR1_KO1 under control	TNFR1_KO1_vs_WT_control.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":21898,""modelled"":24527}"	8882e6fd185f0786bee0867eef7a2d386079d3fbf2f3dbd5f7b70193000e7198	"[""genotype"",""TNFR1_KO1"",""WT""]"
TNFR1_KO1_vs_WT_IFNG	~genotype	IFNG: WT and TNFR1_KO1	TNFR1_KO1 IFNG	WT IFNG	higher in TNFR1_KO1 under IFNG	TNFR1_KO1_vs_WT_IFNG.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":21169,""modelled"":25256}"	aaa4b3f82cd2fdb43b4dca16c54d8a52c55ee5b3fad523eb6b355b16da443f20	"[""genotype"",""TNFR1_KO1"",""WT""]"
TNFR1_KO1_vs_WT_TNF	~genotype	TNF: WT and TNFR1_KO1	TNFR1_KO1 TNF	WT TNF	higher in TNFR1_KO1 under TNF	TNFR1_KO1_vs_WT_TNF.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":22060,""modelled"":24365}"	a8496e0b9b8a10aef6b411da3840e91cd7d4ee4d5cd28a73671da579ee0ee72d	"[""genotype"",""TNFR1_KO1"",""WT""]"
TNFR1_KO1_vs_WT_TNF_IFNG	~genotype	TNF_IFNG: WT and TNFR1_KO1	TNFR1_KO1 TNF_IFNG	WT TNF_IFNG	higher in TNFR1_KO1 under TNF_IFNG	TNFR1_KO1_vs_WT_TNF_IFNG.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":21470,""modelled"":24955}"	c5baf69ed567a7e88f3846c6e530723f31070cdcc298d175b84406989340f805	"[""genotype"",""TNFR1_KO1"",""WT""]"
interaction_TNFR1_KO1_vs_WT_IFNG_vs_control	~genotype + treatment + genotype:treatment	all 24 samples	(TNFR1_KO1-WT) under IFNG minus (TNFR1_KO1-WT) under control	difference-in-differences null of zero	larger KO1-vs-WT difference after IFNG than at control	interaction_TNFR1_KO1_vs_WT_IFNG_vs_control.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":17609,""modelled"":28816}"	8f28cb6384ce6d6a2dec1c6a86e7527d62d2f99976bace85fe1fd8e7cf7b2fcf	[0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0]
interaction_TNFR1_KO1_vs_WT_TNF_vs_control	~genotype + treatment + genotype:treatment	all 24 samples	(TNFR1_KO1-WT) under TNF minus (TNFR1_KO1-WT) under control	difference-in-differences null of zero	larger KO1-vs-WT difference after TNF than at control	interaction_TNFR1_KO1_vs_WT_TNF_vs_control.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":17609,""modelled"":28816}"	1ef12dffca9befef7aef3e6984c41f37f0f8e224eacc9e970424fe421f251225	[0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0]
interaction_TNFR1_KO1_vs_WT_TNF_IFNG_vs_control	~genotype + treatment + genotype:treatment	all 24 samples	(TNFR1_KO1-WT) under TNF_IFNG minus (TNFR1_KO1-WT) under control	difference-in-differences null of zero	larger KO1-vs-WT difference after TNF_IFNG than at control	interaction_TNFR1_KO1_vs_WT_TNF_IFNG_vs_control.unfiltered.tsv.gz	46425	"{""all_zero_in_subset"":17609,""modelled"":28816}"	221d5b68ab1818cf9ca385c8c09ff2dc7a4f2076e02495b8981c55fc2e3a424f	[0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]
