record_id	record_type	filename_or_path	sha256	size_bytes	repository_policy
TNF	source_workbook	Differential_Expression_TNFa_vs_control_final_filtered.xlsx	6e326b69ab5d60648a1f1bb1c7883c9eae16d2670f26b467688cdfb35c77f86d	729356	local source; unchanged by preparation
IFNG	source_workbook	Differential_Expression_IFN_vs_control_filtered.xlsx	c528773f8d3e1e6c3a7e1ee20b5dc0b0697b8462cbf1bfa17cb8bf603047846d	1177538	local source; unchanged by preparation
TNF_IFNG	source_workbook	Differential_Expression_TI_vs_control_final_filtered.xlsx	261ffda1b05699dc9fab3aef879e3a970ff1d8cbd840722e7051b7f2ba014f29	1199438	local source; unchanged by preparation
T6_MATCHED	source_workbook	PyDESeq2_T6_vs_Hela_matched_treatments.xlsx	e8899958587549b91636fa80a9e79bf7d03ee691c55fc928b3215c1fb658eed5	25132047	local source; unchanged by preparation
WT	source_workbook	WT_new.xlsx	0b1e774026e9920f94524a13bddba1de4f0f6f25649669c8c6d8eb6d993e826e	4274689	local source; unchanged by preparation
KO1	source_workbook	KO1_new.xlsx	cb464af397dd070521fd8883f3689553247939627ab03ff0189888ecc46826e5	2728013	local source; unchanged by preparation
KO2	source_workbook	KO2_new.xlsx	d332b4390464352d6925ea6930e5abafc318e1294164a49752a15dcdcbbc67b9	1928352	local source; unchanged by preparation
TCR	source_workbook	TCR.xlsx	1069c0015879c5ee73902db7b04c1ce5b64dfecbe2761a98b1b5c30b4d97e734	21382853	local source; unchanged by preparation
hela_cytokine_significant_differential_expression.tsv	canonical_analysis_table	data/experimental/hela_cytokine_significant_differential_expression.tsv.gz	20efb657c9d6b81dfae8eecd7891f8e0db044c94bc5e082d715ae0cab555a169	1789788	version-controlled author-generated processed data
hela_t6_matched_sample_design	canonical_analysis_table	data/experimental/hela_t6_matched_sample_design.tsv	48365a975aeca5935760d0927777f663e18b903ae1200c9da251e776565b8f2d	919	version-controlled author-generated processed data
hela_t6_vs_wt_untreated_differential_expression.tsv	canonical_analysis_table	data/experimental/hela_t6_vs_wt_untreated_differential_expression.tsv.gz	d1cf86c58f50ee1bf12b8c5176ac07c74edb076cb53103293457f1d8049371ec	1433792	version-controlled author-generated processed data
hela_t6_vs_wt_ifn_differential_expression.tsv	canonical_analysis_table	data/experimental/hela_t6_vs_wt_ifn_differential_expression.tsv.gz	2a742572175715acae6b79c1f115f27c8b2840ae11609484f0417fce622dc1f2	1518498	version-controlled author-generated processed data
hela_t6_vs_wt_tnf_differential_expression.tsv	canonical_analysis_table	data/experimental/hela_t6_vs_wt_tnf_differential_expression.tsv.gz	4b49c953e1559b456737eadd27566aa85864271f22273982d4b28fd41f6be8cf	1460365	version-controlled author-generated processed data
hela_t6_vs_wt_ti_differential_expression.tsv	canonical_analysis_table	data/experimental/hela_t6_vs_wt_ti_differential_expression.tsv.gz	a90c19231928e1347355a6466d5193ebb4c20a8c51faa023e4603bc37a0c785f	1485365	version-controlled author-generated processed data
WT_targeted_counts.tsv	canonical_analysis_table	data/experimental/singlecell/WT_targeted_counts.tsv.gz	43e0dafb0033448e58d1b2bf23e2c89a46d5708436a27b90719288ec2bd55eb0	680289	version-controlled author-generated processed data
KO1_targeted_counts.tsv	canonical_analysis_table	data/experimental/singlecell/KO1_targeted_counts.tsv.gz	4a30de639fa2649256966cc63c5e6805d236b65cba1f8ed226142b7167c25d3f	403675	version-controlled author-generated processed data
KO2_targeted_counts.tsv	canonical_analysis_table	data/experimental/singlecell/KO2_targeted_counts.tsv.gz	1d5bd32e18a9ba71faa98e098c45ef86a4601a68a7582aa6607fd632cef7df72	263329	version-controlled author-generated processed data
TCR_targeted_counts.tsv	canonical_analysis_table	data/experimental/singlecell/TCR_targeted_counts.tsv.gz	4a1012508b5e34d133fd80518b61123070ab0d15cab720257cd0f016d24b849c	931380	version-controlled author-generated processed data
