sample	cell_line	treatment	replicate
HELA_CD19__1_Read_Count	Hela	UNTREATED	1
HELA_CD19__2_Read_Count	Hela	UNTREATED	2
HELA_CD19__3_Read_Count	Hela	UNTREATED	3
T6_CD19__1_Read_Count	T6	UNTREATED	1
T6_CD19__2_Read_Count	T6	UNTREATED	2
T6_CD19__3_Read_Count	T6	UNTREATED	3
HELACD19_IFN__1_Read_Count	Hela	IFN	1
HELACD19_IFN__2_Read_Count	Hela	IFN	2
HELACD19_IFN__3_Read_Count	Hela	IFN	3
T6_CD19_IFN__1_Read_Count	T6	IFN	1
T6_CD19_IFN__2_Read_Count	T6	IFN	2
T6_CD19_IFN__3_Read_Count	T6	IFN	3
HELACD19_TNF__1_Read_Count	Hela	TNF	1
HELACD19_TNF__2_Read_Count	Hela	TNF	2
HELACD19_TNF__3_Read_Count	Hela	TNF	3
T6_CD19_TNF__1_Read_Count	T6	TNF	1
T6_CD19_TNF__2_Read_Count	T6	TNF	2
T6_CD19_TNF__3_Read_Count	T6	TNF	3
HELA_CD19_TI__1_Read_Count	Hela	TI	1
HELA_CD19_TI__2_Read_Count	Hela	TI	2
HELA_CD19_TI__3_Read_Count	Hela	TI	3
T6_CD19_TI__1_Read_Count	T6	TI	1
T6_CD19_TI__2_Read_Count	T6	TI	2
T6_CD19_TI__3_Read_Count	T6	TI	3
