source_id	cohort_id	record_type	citation	doi	accession	source_url	expected_filename	sha256	size_bytes	access_class	license	license_url	redistribution_policy	fetch_mode	repository_policy	notes
braun_checkmate_supplement	CHECKMATE_CCRCC	public_processed_supplement	Braun et al. Nature Medicine 2020	10.1038/s41591-020-0839-y	EGAS00001004290;EGAS00001004291;EGAS00001004292	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41591-020-0839-y/MediaObjects/41591_2020_839_MOESM2_ESM.xlsx	41591_2020_839_MOESM2_ESM.xlsx	a1f8683676d416b255291dcaa007aa0fa48c736c23e6a7a566664ba528bf205b	125569016	public supplement; raw sequencing controlled	standard copyright; no open redistribution licence	https://www.nature.com/nm/terms-and-conditions	Do not redistribute original or sample-level derivatives without permission.	automatic	local_only	Combined workbook; S1 clinical and S4A normalized RNA expression sheets.
su2c_mark_supplement	SU2C_MARK_NSCLC	public_processed_supplement	Ravi et al. Nature Genetics 2023	10.1038/s41588-023-01355-5	phs002822.v1.p1;phs001618.v1.p1;phs001940.v2.p1;EGAS00001003892	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01355-5/MediaObjects/41588_2023_1355_MOESM3_ESM.xlsx	41588_2023_1355_MOESM3_ESM.xlsx	7d99a326b06859d6d0c8b0ff6eeef9aee62cdc214af366d04f7f5ff6f6f666d9	203074203	public processed supplement; raw sequencing controlled	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	Processed supplement may be reused with attribution, licence and change notice; controlled raw data are excluded.	manual_public	local_only	Preparation reads only Table_S1_Clinical_Annotations and Table_S13_RNA_TPM.
liu2019_clinical_supplement	LIU2019_MELANOMA	public_processed_supplement	Liu et al. Nature Medicine 2019	10.1038/s41591-019-0654-5	phs000452.v3.p1	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41591-019-0654-5/MediaObjects/41591_2019_654_MOESM4_ESM.xlsx	41591_2019_654_MOESM4_ESM.xlsx	5bb2d19d5a73869d508d67323e84adccf00f948ec36a034e68efc1bb47b9e899	5382313	public processed supplement; raw sequencing controlled	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	Processed supplement may be reused with attribution, licence and change notice; dbGaP raw data are excluded.	manual_public	local_only	Supplemental Table 1; only Patient-number rows are data.
liu2019_tpm_supplement	LIU2019_MELANOMA	public_processed_supplement	Liu et al. Nature Medicine 2019	10.1038/s41591-019-0654-5	phs000452.v3.p1	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41591-019-0654-5/MediaObjects/41591_2019_654_MOESM3_ESM.txt	41591_2019_654_MOESM3_ESM.txt	80d3a6e6ec7a2c89101ed9f1c9078dda32c2f7152fb20d0e24edcadf37871553	35614392	public processed supplement; raw sequencing controlled	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	Processed supplement may be reused with attribution, licence and change notice; dbGaP raw data are excluded.	manual_public	local_only	TPM-like sample-by-gene table supplied with the article.
liu2019_expression_export	LIU2019_MELANOMA	project_derived_supplement_export	Liu et al. Nature Medicine 2019	10.1038/s41591-019-0654-5	phs000452.v3.p1		Liu2019_NatureMedicine_metastatic_melanoma_antiPD1_expression_matrix.csv	46eb510cb66de6fbd4e11bee78264140f8819d805c3d80819ea44b328d157cb9	33847679	derived from public processed supplement	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	Local format conversion; retain source attribution, licence and change notice.	local_input	local_only	Semantically equivalent sample-by-gene export of the official TPM supplement.
imvigor210_processed_package	IMvigor210_BLCA	public_processed_package	Mariathasan et al. Nature 2018	10.1038/nature25501	EGAS00001002556	http://research-pub.gene.com/IMvigor210CoreBiologies/packageVersions/IMvigor210CoreBiologies_1.0.0.tar.gz	IMvigor210CoreBiologies_1.0.0.tar.gz	cfdd3176d7b34de5b04fb9416bfd2b20fa4b6e238aaad5f20b048a34329ea178	122127298	public processed package; raw sequencing controlled	CC BY 3.0 Unported	https://creativecommons.org/licenses/by/3.0/	Package-derived processed data may be reused with attribution, licence and change notice; controlled EGA raw data are excluded.	manual_public	local_only	Version 1.0.0; preparation consumes checksum-pinned project exports; the historical export commands must be archived before publication.
imvigor210_clinical_export	IMvigor210_BLCA	project_derived_package_export	Mariathasan et al. Nature 2018	10.1038/nature25501	EGAS00001002556		IMvigor210_clinical.csv	95b04cb21c885f4b49e1f683d95d44e81a4058e1fd24f3cd15630141292210c0	76315	derived from public processed package	CC BY 3.0 Unported	https://creativecommons.org/licenses/by/3.0/	Local deterministic export; retain package attribution, licence and change notice.	local_input	local_only	348 samples; first column is the package sample identifier.
imvigor210_expression_export	IMvigor210_BLCA	project_derived_package_export	Mariathasan et al. Nature 2018	10.1038/nature25501	EGAS00001002556		IMvigor210_expression_log2CPM.csv	8cf708b412a4843ad0c2d6d73f3fe804b3308becae8693731113a7b2a573b81c	121488490	derived from public processed package	CC BY 3.0 Unported	https://creativecommons.org/licenses/by/3.0/	Local deterministic export; retain package attribution, licence and change notice.	local_input	local_only	31,286 Entrez features by 348 samples; log2-CPM expression.
braun_checkmate_clinical_split	CHECKMATE_CCRCC	publisher_supplement_split_export	Braun et al. Nature Medicine 2020	10.1038/s41591-020-0839-y	EGAS00001004290;EGAS00001004291;EGAS00001004292		NIHMS1611472-supplement-Table_S1__Clinical_and_immune_phenotype_data_for_the_CheckMate_cohorts.xlsx	614720ed066ecd361e6032370695d948c8d512577b7841e0423982712188c427	552488	public supplement; raw sequencing controlled	standard copyright; no open redistribution licence	https://www.nature.com/nm/terms-and-conditions	Do not redistribute original or sample-level derivatives without permission.	local_input	local_only	Local split copy of S1; accepted only after checksum verification.
braun_checkmate_expression_split	CHECKMATE_CCRCC	publisher_supplement_split_export	Braun et al. Nature Medicine 2020	10.1038/s41591-020-0839-y	EGAS00001004290;EGAS00001004291;EGAS00001004292		NIHMS1611472-supplement-Table_S4__RNA_expression__normalized_expression_matrix_.xlsx	11827187d69298004e7eeedfa0cec9503f95f45d410e76473b43757cc7cd2408	111186042	public supplement; raw sequencing controlled	standard copyright; no open redistribution licence	https://www.nature.com/nm/terms-and-conditions	Do not redistribute original or sample-level derivatives without permission.	local_input	local_only	Local split copy of S4A; accepted only after checksum verification.
