n,beta,se,ci_low,ci_high,p,df_resid,cluster,predictor,covariates,n_signature_genes,BH_p_30_models
181,0.20086492366381684,0.05290259169732019,0.09645983975038,0.30527000757725364,0.00020148088846319776,176,C0,ICAM1_z,TcellScore_z + trial,18,0.0005037022211579943
181,0.4666726491891458,0.05596356414634291,0.35622663088774165,0.57711866749055,2.0961327417463807e-14,176,C1,ICAM1_z,TcellScore_z + trial,20,6.288398225239142e-13
181,0.1505283884124735,0.058260549486172035,0.035549190554859805,0.2655075862700872,0.010585889180203251,176,C2,ICAM1_z,TcellScore_z + trial,20,0.013807681539395544
181,0.26850811587915896,0.0445393497304961,0.18060817757995629,0.35640805417836163,9.472016214633329e-09,176,C3,ICAM1_z,TcellScore_z + trial,19,4.7360081073166644e-08
181,0.11229662185753359,0.037813418409577415,0.03767054030951349,0.18692270340555367,0.0033963682008936523,176,C4,ICAM1_z,TcellScore_z + trial,17,0.005371772101989102
181,0.14036186392311742,0.04984205602749795,0.041996852398875906,0.23872687544735893,0.005415469831189543,176,C5,ICAM1_z,TcellScore_z + trial,16,0.007384731587985741
181,0.3431684769452389,0.059391348224509935,0.22595760889194066,0.4603793449985371,3.364250843371282e-08,176,C6,ICAM1_z,TcellScore_z + trial,20,1.4418217900162636e-07
181,0.2162981400038495,0.06019424202812876,0.09750273341943337,0.3350935465882656,0.00042356887878696256,176,C7,ICAM1_z,TcellScore_z + trial,20,0.0008471377575739251
181,0.1721524940459947,0.050351677856063454,0.0727817263183535,0.2715232617736359,0.0007810143630961127,176,C8,ICAM1_z,TcellScore_z + trial,20,0.0014644019308052113
181,0.14487575904978345,0.049065570470468785,0.04804316847389613,0.24170834962567078,0.003580249383495462,176,C9,ICAM1_z,TcellScore_z + trial,20,0.005371772101989102
181,0.36774228161842987,0.05139006212613479,0.2663222268261498,0.4691623364107099,2.1582812288057062e-11,176,C0,B2M_z,TcellScore_z + trial,18,1.6187109216042797e-10
181,0.0996406763066508,0.06973709780432209,-0.03798788430900271,0.2372692369223043,0.15483280179596476,176,C1,B2M_z,TcellScore_z + trial,20,0.1786532328414978
181,-0.06770085698403423,0.06277534378244563,-0.19159015663876328,0.05618844267069481,0.28230322995427026,176,C2,B2M_z,TcellScore_z + trial,20,0.3136702555047447
181,-0.05166758701577928,0.05176572659332189,-0.1538290285522924,0.050493854520733836,0.31959912967228926,176,C3,B2M_z,TcellScore_z + trial,19,0.3306197893161613
181,0.14290667286852943,0.03968116248788143,0.06459453415454192,0.22121881158251694,0.000411561614927551,176,C4,B2M_z,TcellScore_z + trial,17,0.0008471377575739251
181,0.15186213599447965,0.05284072216540554,0.04757915372982764,0.25614511825913167,0.004553171730449757,176,C5,B2M_z,TcellScore_z + trial,16,0.0065045310434996536
181,0.30755245354346084,0.06471156756623256,0.17984194966913386,0.4352629574177878,4.155218151008545e-06,176,C6,B2M_z,TcellScore_z + trial,20,1.5582068066282043e-05
181,0.15946663096473213,0.06507343528631539,0.031041968701020883,0.28789129322844337,0.015241114379910417,176,C7,B2M_z,TcellScore_z + trial,20,0.01905139297488802
181,0.15901821662001736,0.05385678451082621,0.052730000376624356,0.2653064328634104,0.003581181401326068,176,C8,B2M_z,TcellScore_z + trial,20,0.005371772101989102
181,0.022392614728274224,0.05331126219202186,-0.08281899445969723,0.12760422391624568,0.6749719582258603,176,C9,B2M_z,TcellScore_z + trial,20,0.6749719582258603
181,0.37295227579305257,0.05080610646865161,0.2726846775717111,0.473219874014394,7.550704088086635e-12,176,C0,combined_B2M_ICAM1_z,TcellScore_z + trial,18,1.1326056132129952e-10
181,0.3925362461664603,0.063164198080492,0.26787952918272945,0.5171929631501913,3.6187391104135955e-09,176,C1,combined_B2M_ICAM1_z,TcellScore_z + trial,20,2.1712434662481573e-08
181,0.06391892610588387,0.06244715613383969,-0.05932268393870094,0.18716053615046868,0.30744406167112037,176,C2,combined_B2M_ICAM1_z,TcellScore_z + trial,20,0.32940435179048616
181,0.1574059741177306,0.05024182909354913,0.0582519967003584,0.2565599515351028,0.0020273892724951164,176,C3,combined_B2M_ICAM1_z,TcellScore_z + trial,19,0.0035777457749913816
181,0.1691406191340492,0.03885050057254683,0.09246782027453235,0.24581341799356607,2.267066672252092e-05,176,C4,combined_B2M_ICAM1_z,TcellScore_z + trial,17,7.556888907506973e-05
181,0.19460813168456198,0.05172643648585601,0.09252423052622945,0.2966920328428945,0.0002291192529372946,176,C5,combined_B2M_ICAM1_z,TcellScore_z + trial,16,0.0005287367375476029
181,0.4357724025102622,0.059947788428199436,0.31746338058028056,0.5540814244402439,1.1354309530985604e-11,176,C6,combined_B2M_ICAM1_z,TcellScore_z + trial,20,1.1354309530985604e-10
181,0.25307497616943697,0.06298131157694394,0.12877919198950555,0.3773707603493684,8.677568489961655e-05,176,C7,combined_B2M_ICAM1_z,TcellScore_z + trial,20,0.00023666095881713604
181,0.22157977035556037,0.052264284586716954,0.11843440747481634,0.32472513323630436,3.6096988614698746e-05,176,C8,combined_B2M_ICAM1_z,TcellScore_z + trial,20,0.00010829096584409622
181,0.11649759106145689,0.05230989807478965,0.01326220839345818,0.2197329737294556,0.02721090851468375,176,C9,combined_B2M_ICAM1_z,TcellScore_z + trial,20,0.0326530902176205
