signature,gene,present_in_bulk
C0,LGALS3,True
C0,BCL11B,True
C0,IFNGR1,True
C0,EGR1,True
C0,CD247,True
C0,PIK3IP1,True
C0,CXCL8,True
C0,KLRB1,True
C0,CLEC2D,True
C0,CD69,True
C0,KLRC1,True
C0,CD8A,True
C0,CXCR4,True
C0,FYB,True
C0,NAMPT,True
C0,HLA-DRB3,False
C0,LAP3,True
C0,GIMAP2,True
C0,CD48,True
C0,ITGAE,True
C1,CD4,True
C1,TNFRSF4,True
C1,CHI3L2,True
C1,LAG3,True
C1,FOXP1,True
C1,STAT3,True
C1,TNFRSF18,True
C1,FOSB,True
C1,GAPDH,True
C1,PASK,True
C1,BTG1,True
C1,CD5,True
C1,IL23R,True
C1,BCL2,True
C1,PMCH,True
C1,JUN,True
C1,GATA3,True
C1,TSPAN32,True
C1,TNFRSF1B,True
C1,FOXP3,True
C2,CCL1,True
C2,CXCR5,True
C2,CSF2,True
C2,LTA,True
C2,IL13,True
C2,SELL,True
C2,CCR4,True
C2,CCR8,True
C2,NT5E,True
C2,LIF,True
C2,S1PR1,True
C2,CD9,True
C2,TNFRSF4,True
C2,BTLA,True
C2,CCNB1,True
C2,IL2RA,True
C2,ZBED2,True
C2,ICOS,True
C2,PYCR1,True
C2,CD70,True
C3,CXCR6,True
C3,CCR2,True
C3,LTB,True
C3,LIF,True
C3,FOXP3,True
C3,TNFRSF18,True
C3,CD40LG,True
C3,LAT2,True
C3,CCR1,True
C3,CCR5,True
C3,CCL3,False
C3,GZMB,True
C3,TSPAN32,True
C3,IL2RB,True
C3,PRF1,True
C3,IER3,True
C3,BIN2,True
C3,LAIR2,True
C3,IL18R1,True
C3,C10orf54,True
C4,ZNF683,True
C4,GZMH,True
C4,CD8B,True
C4,CD8A,True
C4,GZMK,True
C4,PECAM1,False
C4,NKG7,True
C4,KLRK1,True
C4,CD244,True
C4,CCR1,True
C4,CCR5,True
C4,CTSW,True
C4,CD27,True
C4,KLRC3,True
C4,FASLG,True
C4,GZMA,True
C4,NCR3,True
C4,LTB,True
C4,GZMB,True
C4,VNN2,True
C5,TRDC,True
C5,TARP-refseq,False
C5,PECAM1,False
C5,CXCL8,True
C5,ZBTB16,True
C5,CD300A,True
C5,IKZF2,True
C5,TNFRSF9,True
C5,NKG7,True
C5,NCR3,True
C5,KLRC1,True
C5,CD244,True
C5,GZMK,True
C5,KLRG1,True
C5,KLRC3,True
C5,CCR1,True
C5,KLRK1,True
C5,CCL4,False
C5,CCL3,False
C5,GZMB,True
C6,TK1,True
C6,CHI3L2,True
C6,CXCL13,True
C6,MKI67,True
C6,AURKB,True
C6,FOXP1,True
C6,TOP2A,True
C6,UBE2C,True
C6,HMGB2,True
C6,TYMS,True
C6,CD70,True
C6,IER5,True
C6,IL23R,True
C6,JUN,True
C6,HMMR,True
C6,PTTG2,True
C6,CXCR4,True
C6,FAS,True
C6,CCR7,True
C6,CD4,True
C7,MKI67,True
C7,TOP2A,True
C7,AURKB,True
C7,UBE2C,True
C7,HMGB2,True
C7,CCNB1,True
C7,HMMR,True
C7,CD40LG,True
C7,LAT2,True
C7,IER3,True
C7,CCR5,True
C7,TYMS,True
C7,CCR1,True
C7,CCR2,True
C7,IL9R,True
C7,CXCR6,True
C7,ENTPD1,True
C7,IL18RAP,True
C7,ARL4C,True
C7,PTTG2,True
C8,IL9,True
C8,TNFRSF8,True
C8,IL12A,True
C8,CCR7,True
C8,CX3CR1,True
C8,AIM2,True
C8,PYCR1,True
C8,HLA-DPA1,True
C8,TNFRSF9,True
C8,KLRG1,True
C8,EOMES,True
C8,IL5,True
C8,CCR4,True
C8,HLA-DMB,True
C8,HLA-DQA1,True
C8,CCNB1,True
C8,CCR8,True
C8,ZBED2,True
C8,HMMR,True
C8,STAT6,True
C9,TCF7,True
C9,IL7R,True
C9,GIMAP7,True
C9,SPOCK2,True
C9,LTB,True
C9,ZBTB16,True
C9,CD27,True
C9,STAT1,True
C9,CCR4,True
C9,GIMAP5,True
C9,SELL,True
C9,TNFRSF25,True
C9,TRAT1,True
C9,C10orf54,True
C9,LEF1,True
C9,CCR7,True
C9,IL12RB1,True
C9,LAT,True
C9,TXK,True
C9,CHI3L2,True
