gene,block
PARP1,Apoptosis / stress
BAX,Apoptosis / stress
CYCS,Apoptosis / stress
BID,Apoptosis / stress
FADD,Apoptosis / stress
PMAIP1,Apoptosis / stress
CASP8,Apoptosis / stress
CASP3,Apoptosis / stress
BBC3,Apoptosis / stress
BAK1,Apoptosis / stress
BIRC5,Survival / adaptation
AURKA,Survival / adaptation
CHEK1,Survival / adaptation
PLK1,Survival / adaptation
BCL2,Survival / adaptation
MCL1,Survival / adaptation
BCL2L1,Survival / adaptation
XIAP,Survival / adaptation
BIRC3,Survival / adaptation
