target_gene	hgnc_symbol	hgnc_id	entrez_id	ensembl_gene_id	mapping_basis	hgnc_snapshot_sha256	hgnc_snapshot_retrieved
AIM2	AIM2	HGNC:357	9447	ENSG00000163568	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
ARL4C	ARL4C	HGNC:698	10123	ENSG00000188042	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
AURKA	AURKA	HGNC:11393	6790	ENSG00000087586	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
AURKB	AURKB	HGNC:11390	9212	ENSG00000178999	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
B2M	B2M	HGNC:914	567	ENSG00000166710	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BAK1	BAK1	HGNC:949	578	ENSG00000030110	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BAX	BAX	HGNC:959	581	ENSG00000087088	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BBC3	BBC3	HGNC:17868	27113	ENSG00000105327	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BCL11B	BCL11B	HGNC:13222	64919	ENSG00000127152	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BCL2	BCL2	HGNC:990	596	ENSG00000171791	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BCL2L1	BCL2L1	HGNC:992	598	ENSG00000171552	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BID	BID	HGNC:1050	637	ENSG00000015475	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BIN2	BIN2	HGNC:1053	51411	ENSG00000110934	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BIRC3	BIRC3	HGNC:591	330	ENSG00000023445	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BIRC5	BIRC5	HGNC:593	332	ENSG00000089685	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BTG1	BTG1	HGNC:1130	694	ENSG00000133639	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
BTLA	BTLA	HGNC:21087	151888	ENSG00000186265	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
C10orf54	VSIR	HGNC:30085	64115	ENSG00000107738	previous_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CASP3	CASP3	HGNC:1504	836	ENSG00000164305	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CASP8	CASP8	HGNC:1509	841	ENSG00000064012	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCL1	CCL1	HGNC:10609	6346	ENSG00000108702	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCL2	CCL2	HGNC:10618	6347	ENSG00000108691	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCL20	CCL20	HGNC:10619	6364	ENSG00000115009	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCL3	CCL3	HGNC:10627	6348	ENSG00000277632	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCL4	CCL4	HGNC:10630	6351	ENSG00000275302	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCNB1	CCNB1	HGNC:1579	891	ENSG00000134057	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCR1	CCR1	HGNC:1602	1230	ENSG00000163823	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
CCR2	CCR2	HGNC:1603	729230	ENSG00000121807	current_symbol	8883dea5fb60ce9a87cef179b941b21c22098571f1ea17037ef92b91efb74fa6	2026-08-14
