manifest_version	analysis_source_commit	dataset	cluster_id	n_cells	previous_release_label	submission_label	defining_markers	annotation_method	marker_source	nomenclature_framework	interpretive_reference	reference_atlas_or_classifier	assay_scope	properties_not_measured	transfer_status
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C0	1542	C0 KLRB1+ innate-like activated	C0 KLRB1/LGALS3-associated activated T-cell state	LGALS3;KLRB1;CD69;CXCR4;ITGAE	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	property-based terminology only; no external label transferred	none	259-gene targeted single-cell mRNA panel	lineage;ontogeny;antigen specificity;functional capacity;memory potential;exhaustion	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C1	1448	C1 activated CD4 checkpoint-high	C1 CD4/LAG3-associated activated T-cell state	CD4;LAG3;TNFRSF4;TNFRSF18;STAT3	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	property-based terminology only; no external label transferred	none	259-gene targeted single-cell mRNA panel	lineage;antigen specificity;functional capacity;checkpoint dependence;exhaustion	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C2	903	C2 CXCR5+ type 2 helper-like	C2 CXCR5/IL13/CCR4-associated activated T-cell state	CXCR5;IL13;CCR4;CCR8;CCL1;CSF2	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	property-based terminology only; no external label transferred	none	259-gene targeted single-cell mRNA panel	helper lineage;cytokine secretion;antigen specificity;functional capacity	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C3	891	C3 CXCR6+ cytotoxic activated	C3 CXCR6-associated cytotoxic activated state	CXCR6;CCL3;GZMB;PRF1;CCR5	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	property-based terminology only; no external label transferred	none	259-gene targeted single-cell mRNA panel	direct killing;lineage;antigen specificity;functional capacity	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C4	812	C4 ZNF683+ cytotoxic CD8	C4 CD8/ZNF683-associated cytotoxic state	ZNF683;CD8A;CD8B;GZMH;NKG7;KLRK1	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	Vieira Braga et al. 2015; doi:10.1002/eji.201545650; interpretive context only	none	259-gene targeted single-cell mRNA panel	direct killing;clonotype;antigen specificity;functional capacity	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C5	594	C5 γδ T	C5 TRDC-high γδ-associated cytotoxic state	TRDC;TARP-REFSEQ;ZBTB16;NKG7;NCR3	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	property-based terminology only; no external label transferred	none	259-gene targeted single-cell mRNA panel	TCR sequence;clonotype;direct killing;antigen specificity	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C6	516	C6 CXCL13-associated cycling T-cell state	C6 CXCL13-associated cycling T-cell state	CXCL13;TK1;MKI67;AURKB;TOP2A;UBE2C	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	Liu et al. 2022; doi:10.1038/s43018-022-00433-7; interpretive context only	none	259-gene targeted single-cell mRNA panel	uniform CXCL13 positivity;lineage;antigen specificity;functional capacity;exhaustion	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C7	453	C7 cycling effector-like	C7 cycling effector-gene-high T-cell state	MKI67;TOP2A;AURKB;UBE2C;CCNB1;HMGB2	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	property-based terminology only; no external label transferred	none	259-gene targeted single-cell mRNA panel	effector function;lineage;antigen specificity;differentiation potential	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C8	396	C8 IL9hi TH9-like	C8 IL9-high activated T-cell state	IL9;TNFRSF8;IL5;STAT6;CCR4;CCR8	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	Masopust et al. 2026 TH9 criteria; interpretive caution only; SPI1/PU.1 absent from panel	none	259-gene targeted single-cell mRNA panel	formal TH9 identity;PU.1 status;IL-9 secretion;lineage;functional capacity	historical C0-C9 signature family
1	d6cf659cc9bb9d9d000bdbb440e4c5e9166801ab	tumor_co_culture	C9	133	C9 TCF7hi stem-like/early-memory	C9 TCF7/IL7R-high early-memory-associated state	TCF7;IL7R;LEF1;CCR7;SELL;CD27	manual_post_hoc_marker_based_after_unsupervised_louvain_clustering	Supplementary_Table_S5_top_markers_per_cluster.xlsx	Masopust et al. 2026; doi:10.1038/s41577-025-01238-2	Sade-Feldman et al. 2018; doi:10.1016/j.cell.2018.10.038; interpretive context only	none	259-gene targeted single-cell mRNA panel	self-renewal;stemness;memory potential;lineage;antigen specificity	historical C0-C9 signature family
